id,name,date,lat,lon,elev
210010,West Eifel Volcanic Field,8300 BCE,50.17,6.85,600
210020,Chaine des Puys,4040 BCE,45.786,2.981,1464
210030,Olot Volcanic Field,Unknown,42.17,2.53,893
210040,Calatrava Volcanic Field,3600 BCE,38.87,-4.02,1117
211004,Colli Albani,Unknown,41.7569,12.7251,949
211010,Campi Flegrei,1538 CE,40.827,14.139,458
211020,Vesuvius,1944 CE,40.821,14.426,1281
211030,Ischia,1302 CE,40.73,13.897,789
211031,Palinuro,8040 BCE,39.48,14.83,-70
211040,Stromboli,2024 CE,38.789,15.213,924
211041,Panarea,Unknown,38.638,15.064,399
211042,Lipari,1230 CE,38.49,14.933,590
211050,Vulcano,1890 CE,38.404,14.962,500
211060,Etna,2024 CE,37.748,14.999,3357
211070,Campi Flegrei del Mar di Sicilia,1867 CE,37.1,12.7,-8
211071,Pantelleria,1891 CE,36.77,12.02,836
211080,Marsili,1050 BCE,39.284,14.399,-779
212020,Methana,258 BCE,37.6186,23.3331,380
212030,Milos,140 CE,36.699,24.439,751
212040,Santorini,1950 CE,36.404,25.396,367
212050,Nisyros,1888 CE,36.5888,27.1553,698
213000,Kula,Unknown,38.58,28.52,750
213002,Hasandag-Keciboyduran Volcanic Complex,Unknown,38.13,34.17,3253
213010,Erciyes Volcanic Complex,6880 BCE,38.531,35.447,3864
213011,Karaca Dag,Unknown,37.67,39.83,1957
213020,Nemrut Dagi,1650 CE,38.654,42.229,2948
213030,Tenduruk Dagi,1855 CE,39.356,43.874,3514
213040,Ararat,1840 CE,39.7,44.3,5165
214010,Elbrus,50 CE,43.351,42.442,5642
214020,Kazbek,750 BCE,42.7,44.5,5050
214050,Samsari Volcanic Center,Unknown,41.542,43.7,3290
214060,Aragats,Unknown,40.53,44.2,4095
214070,Ghegham Volcanic Ridge,1900 BCE,40.283,45,3597
214080,Vaiyots-Sar,2000 BCE,39.797,45.497,2575
214090,Porak,778 BCE,40.028,45.74,3029
214100,Tskhouk-Karckar,3000 BCE,39.742,45.992,3139
221010,Tair Jebel at,2008 CE,15.55,41.83,244
221020,Zubair Group,2013 CE,15.05,42.18,191
221021,Zukur,Unknown,14.02,42.75,624
221022,Hanish,Unknown,13.72,42.73,422
221040,Alid,Unknown,14.88,39.92,904
221041,Dallol,2011 CE,14.242,40.3,-48
221050,Gada Ale,Unknown,13.975,40.408,287
221060,Alu-Dalafilla,2008 CE,13.793,40.553,578
221071,Bora Ale,Unknown,13.725,40.6,668
221080,Erta Ale,2024 CE,13.601,40.666,585
221090,Ale Bagu,Unknown,13.512,40.631,988
221091,Hayli Gubbi,Unknown,13.51,40.722,493
221100,Dubbi,1861 CE,13.579,41.809,1625
221101,Nabro,2012 CE,13.37,41.7,2218
221102,Mallahle,Unknown,13.27,41.65,1875
221103,Sork Ale,Unknown,13.18,41.725,1611
221104,Asavyo,Unknown,13.098,41.599,1338
221105,Mat Ala,Unknown,13.106,41.161,493
221106,Tat Ali,Unknown,13.284,41.063,655
221107,Borawli,Unknown,13.304,40.987,784
221110,Afdera,Unknown,13.088,40.853,1250
221111,Ma Alalta,Unknown,13.013,40.185,1745
221112,Alayta,1915 CE,12.888,40.573,1496
221113,Dabbahu,2005 CE,12.595,40.48,1401
221114,Dabbayra,Unknown,12.38,40.07,1302
221115,Manda Hararo,2009 CE,12.17,40.82,600
221116,Groppo,Unknown,11.816,40.242,852
221120,Kurub,Unknown,11.88,41.208,625
221122,Manda-Inakir,1928 CE,12.38,42.2,600
221123,Mousa Alli,Unknown,12.469,42.404,1993
221124,Gufa,Unknown,12.55,42.53,600
221125,Assab Volcanic Field,Unknown,12.95,42.43,987
221126,Ardoukoba,1978 CE,11.58,42.47,298
221127,Manda Gargori,Unknown,11.75,41.48,700
221141,Dama Ali,1631 CE,11.28,41.63,1068
221150,Gabillema,Unknown,11.08,41.27,1459
221151,Yangudi,Unknown,10.58,41.042,1383
221160,Ayelu,Unknown,10.082,40.702,2145
221170,Adwa,Unknown,10.063,40.831,1670
221171,Hertali,Unknown,9.78,40.33,900
221172,Liado Hayk,Unknown,9.57,40.28,878
